batting_team,game_date,inning_num,score_diff,launch_angle,launch_speed,batted_ball_type,scoring_window,estimated_runner_delay,runner_behavior,total_play_time,runner_time_from_2b,runner_speed,fielder_arm_strength,des
KC,2024-09-26,3,2,10,99.0,line_drive,0.6471076560381777,0.4,hesitated,6.548747000300473,5.901639344262295,30.5,86.2,Yuli Gurriel singles on a line drive to center fielder Jacob Young. Tommy Pham scores. Bobby Witt Jr. to 3rd. Salvador Perez to 2nd.
TEX,2024-09-17,6,0,23,80.1,line_drive,0.6389964602577001,0.6,halfway,7.355414370705461,6.716417910447761,26.8,84.5,Josh Jung singles on a line drive to left fielder Davis Schneider. Adolis García to 3rd. Nathaniel Lowe to 2nd.
CHC,2024-06-19,3,0,15,86.3,line_drive,0.6327171476894984,0.6,halfway,6.632717147689498,6.0,30.0,86.9,Nico Hoerner singles on a line drive to right fielder Mike Yastrzemski. Pete Crow-Armstrong to 3rd.
LAA,2024-05-15,7,5,34,69.6,fly_ball,0.6301250510348639,2.129497788089303,halfway,8.037532458442271,7.407407407407407,24.3,86.9,"Kevin Pillar singles on a fly ball to center fielder Michael Siani. Kevin Pillar out at 2nd on the throw, center fielder Michael Siani to third baseman Nolan Arenado to shortstop Masyn Winn. Willie Calhoun to 3rd."
TEX,2024-04-27,9,-4,17,84.7,line_drive,0.6295235676808426,0.6,halfway,7.151262698115625,6.521739130434782,27.6,,Wyatt Langford singles on a line drive to center fielder Bubba Thompson. Josh Smith to 3rd.
TOR,2024-05-03,2,2,20,80.5,line_drive,0.6291270123437709,0.6,halfway,6.9449164860279815,6.315789473684211,28.5,87.5,Isiah Kiner-Falefa singles on a line drive to right fielder Alex Call.
CIN,2024-09-20,3,1,16,101.9,line_drive,0.6288721979168095,0.6,halfway,6.8788721979168095,6.25,28.8,99.1,Elly De La Cruz singles on a sharp line drive to center fielder Oneil Cruz. Will Benson to 3rd. Jonathan India to 2nd.
SEA,2024-09-04,7,7,16,91.9,line_drive,0.6260402773400191,0.6,halfway,7.031734227517955,6.405693950177936,28.1,89.3,Victor Robles singles on a line drive to center fielder JJ Bleday. Cal Raleigh scores. Randy Arozarena to 3rd. Justin Turner to 2nd.
ATH,2024-05-07,2,-10,20,80.3,line_drive,0.6191178237816528,0.6,halfway,7.093937967666545,6.474820143884892,27.8,91.3,Abraham Toro singles on a line drive to center fielder Leody Taveras. Max Schuemann to 3rd. Brett Harris to 2nd.
PIT,2024-07-13,1,0,22,84.4,line_drive,0.6122457608654797,0.6,halfway,7.32866367131324,6.716417910447761,26.8,88.4,Bryan Reynolds singles on a line drive to right fielder Tommy Pham. Andrew McCutchen to 3rd.
STL,2024-04-08,10,-2,13,102.6,line_drive,0.6112981088496241,0.4,hesitated,6.611298108849624,6.0,30.0,88.1,Paul Goldschmidt singles on a sharp line drive to left fielder Brandon Marsh. Victor Scott II to 3rd.
MIL,2024-04-20,9,6,12,96.6,line_drive,0.6110358341170441,0.4,hesitated,6.754380544014655,6.143344709897611,29.3,86.9,Jackson Chourio singles on a line drive to center fielder Michael Siani.   Blake Perkins scores.    Brice Turang to 3rd.
COL,2024-08-27,6,3,21,74.7,line_drive,0.6092050630538974,1.2,halfway,6.902911356760191,6.293706293706293,28.6,88.4,Charlie Blackmon singles on a line drive to left fielder Jesús Sánchez. Jordan Beck to 3rd.
ATL,2024-05-17,1,0,22,82.8,line_drive,0.609151675233977,0.6,halfway,7.226798734057507,6.61764705882353,27.2,87.2,"Matt Olson singles on a line drive to left fielder Jurickson Profar. Ronald Acuña Jr. scores. Ozzie Albies out at 3rd on the throw, left fielder Jurickson Profar to third baseman Manny Machado."
SF,2024-06-27,10,-2,49,70.3,fly_ball,0.6082235574756298,4.83827155338674,tagged,7.751080700332773,7.142857142857143,25.2,,"Brett Wisely singles on a fly ball to left fielder Seiya Suzuki, deflected by shortstop Dansby Swanson."
TOR,2024-04-16,3,-1,13,102.9,line_drive,0.6072151990742842,0.4,hesitated,6.923004672758495,6.315789473684211,28.5,88.1,George Springer singles on a line drive to center fielder Aaron Judge. Daulton Varsho to 3rd.
MIL,2024-08-02,2,1,32,64.9,fly_ball,0.5999926451795972,1.8817447237481535,halfway,7.714617151108451,7.1146245059288535,25.3,86.2,"Sal Frelick singles on a fly ball to center fielder Jacob Young. Rhys Hoskins to 3rd. Sal Frelick to 2nd. Sal Frelick advances to 2nd, on a throwing error by center fielder Jacob Young."
TEX,2024-05-07,2,5,20,94.6,line_drive,0.5995540533077985,0.6,halfway,7.417735871489617,6.818181818181818,26.4,86.5,Josh Smith singles on a line drive to right fielder Lawrence Butler. Corey Seager scores. Nathaniel Lowe to 3rd. Adolis García to 2nd.
CHC,2024-09-09,9,4,13,91.2,line_drive,0.5967678292933289,0.4,hesitated,6.95719185756188,6.360424028268551,28.3,82.4,Cody Bellinger singles on a line drive to center fielder Tommy Edman. Dansby Swanson scores. Seiya Suzuki to 3rd.
PHI,2024-06-26,8,4,14,96.9,line_drive,0.5929123209068852,0.4,hesitated,6.778479331216163,6.185567010309278,29.1,85.5,Brandon Marsh singles on a line drive to right fielder Wenceel Pérez. Bryson Stott to 3rd.
LAD,2024-06-08,6,1,23,78.2,line_drive,0.5895779977301263,1.2,halfway,7.566322183776638,6.976744186046512,25.8,84.8,Will Smith singles on a line drive to center fielder Trent Grisham. Freddie Freeman to 3rd.
LAD,2024-06-29,11,3,32,68.4,fly_ball,0.5843323282203574,1.9832255640119214,halfway,7.561076514266869,6.976744186046512,25.8,86.9,"Teoscar Hernández singles on a fly ball to second baseman Brett Wisely, deflected by right fielder Austin Slater. Freddie Freeman to 3rd."
