WP_delta,WP_send,WP_hold,run_value_wp,p_score_if_sent,delta_EV,scoring_window,had_scoring_opportunity,runner_behavior,coach_decision_quality,outs_when_up,event_type,base_state_pre,launch_speed,launch_angle,batted_ball_type,hit_location,hang_time,throw_distance_from_fielding,throw_time,runner_speed,fielder_arm_strength,batting_team,inning_num,inning_topbot,score_diff,des,video_link
-0.07325005034222065,0.6074879496577793,0.680738,0.08000000000000007,0.9539650793650795,0.6272160984126987,-2.0749853737589756,False,hesitated,bad_send,2,single,1B-2B,89.3,13,line_drive,7,1.1708720654630713,139.16587298591978,2.445592374904347,26.9,84.6,HOU,1,Bot,1,Yainer Diaz singles on a line drive to left fielder Roman Anthony. Jose Altuve scores. Victor Caratini to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=bbb55f9a-54c0-3f09-bed7-d30f494e4e65
-0.07324830538584581,0.35575069461415415,0.42899899999999996,0.08000000000000002,0.962415383649477,0.6903722757504651,-2.1935499455206084,False,on_contact,bad_send,2,single,2B,86.2,1,ground_ball,7,1.3943115227358776,133.57719493848197,2.3086902558814444,26.1,90.4,TB,1,Bot,-2,"Jonathan Aranda singles on a ground ball to left fielder Mauricio Dubón. Yandy Díaz scores. Jonathan Aranda to 2nd. Jonathan Aranda advances to 2nd, on a fielding error by left fielder Mauricio Dubón.",https://baseballsavant.mlb.com/sporty-videos?playId=21cd2a96-7283-3f54-98c4-961beaba1450
-0.07275535168535963,0.5846576483146404,0.657413,0.13,0.8799780162456218,-0.03139414077054914,-1.654925897649858,False,hesitated,bad_send,0,single,1B-2B,101.7,13,line_drive,7,1.2739087044525994,171.79302416817217,2.737832064564209,27.0,85.8,LAD,7,Bot,0,Michael Conforto singles on a sharp line drive to left fielder Heliot Ramos. Max Muncy scores. Andy Pages to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=a7b09c47-474f-350f-a734-64b1e664adff
-0.07206158351217706,0.5186764164878229,0.590738,0.09000000000000008,0.9370469973451625,0.6030401592062369,-1.5718529161748016,False,halfway,bad_send,2,single,1B-2B-3B,62.0,19,line_drive,8,1.869332400885407,157.38659207083253,2.590064682939791,25.6,86.4,HOU,1,Top,0,Jake Meyers singles on a line drive to center fielder Denzel Clarke. Jeremy Peña scores. Isaac Paredes scores. Christian Walker to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=192862d0-1116-3581-9e08-4173253e9570
-0.07119876391440294,0.519539236085597,0.590738,0.09000000000000008,0.9811767884767605,0.6661016307332905,-1.5359408570033164,False,on_contact,bad_send,2,single,1B-2B-3B,100.2,5,ground_ball,8,1.2472229069116358,160.81572839384143,2.622530186262984,28.1,86.4,SF,1,Top,0,Willy Adames singles on a ground ball to center fielder Denzel Clarke. Rafael Devers scores. Matt Chapman scores. Jung Hoo Lee to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=3ac8159e-1ccd-38a1-ae74-d279a3ff4503
-0.06867141092541962,0.5220665890745804,0.590738,0.09000000000000008,0.8348192860868917,0.4569567598181681,-1.4352570443275265,False,on_contact,bad_send,2,single,1B-2B-3B,94.8,9,ground_ball,9,1.7812407323360582,205.18736548327246,2.9263593661935587,25.2,91.9,ATL,1,Top,0,"Rangers challenged (tag play), call on the field was overturned: Ozzie Albies singles on a line drive to right fielder Adolis García. Jurickson Profar scores. Matt Olson out at home on the throw, right fielder Adolis García to catcher Jonah Heim. Drake Baldwin to 2nd.",https://baseballsavant.mlb.com/sporty-videos?playId=d9ed3410-10bd-3046-8cb1-52cf764f9af1
-0.06654252836076091,0.5241954716392391,0.590738,0.09000000000000008,0.8799780162456218,0.5214885852149933,-2.2342181789153894,False,hesitated,bad_send,2,single,1B-2B-3B,104.0,12,line_drive,7,1.1477855935618957,160.41786256351023,2.649246227522715,25.6,84.7,LAD,3,Top,0,Teoscar Hernández singles on a line drive to left fielder Ian Happ. Michael Conforto scores. Austin Barnes scores. Shohei Ohtani to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=c1843f62-3fe6-35a0-aa41-96a9216e0ec4
-0.0663106211841809,0.3544273788158191,0.420738,0.08000000000000002,0.911984126984127,0.5672253174603175,-0.8885230824366515,False,on_contact,bad_send,2,single,1B-2B,96.4,-11,ground_ball,8,2.5241852137609255,214.48657083584203,2.9946991112098305,24.3,92.6,CIN,3,Bot,-2,Gavin Lux singles on a ground ball to center fielder Julio Rodríguez. Jose Trevino scores. Matt McLain to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=540e5ad9-1411-3273-84a0-e8f16df90183
-0.0660061181885645,0.5282408818114355,0.594247,0.11000000000000004,0.9866956128483995,0.13433828675356452,-2.082278408804858,False,on_contact,bad_send,0,single,1B-2B,103.3,1,ground_ball,8,1.1720746407338336,140.4212799811241,2.387713371125515,27.1,89.2,MIA,5,Top,0,Matt Mervis singles on a ground ball to center fielder Tyrone Taylor. Kyle Stowers scores. Jonah Bride to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=c1b72a5b-d140-3eba-8ca0-0f129a0cc6b7
-0.06434667586270881,0.28945932413729114,0.35380599999999995,0.10000000000000003,0.9783990106989828,0.6621321862888465,-1.0851044039586952,False,on_contact,bad_send,2,single,1B-2B,88.4,7,ground_ball,8,1.6528647622752664,179.27640894995548,2.83137389945947,27.4,84.7,ATH,6,Bot,-2,Jacob Wilson singles on a ground ball to center fielder Luis Robert Jr. Tyler Soderstrom scores. JJ Bleday scores. Jacob Wilson to 2nd. Fielding error by center fielder Luis Robert Jr.,https://baseballsavant.mlb.com/sporty-videos?playId=fa40f352-c98d-3b02-91df-c8b7961d78b0
-0.06402938843058226,0.6234906115694178,0.68752,0.3484799999999999,0.8716446829122886,0.5095802518816603,-1.1992228669495368,False,on_contact,bad_send,2,single,1B-2B,89.6,5,ground_ball,7,1.6259749099749239,179.79777257486808,2.792449281899069,27.2,86.9,ATL,11,Bot,0,Drake Baldwin singles on a line drive to left fielder Gavin Lux. Ozzie Albies scores. Eli White to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=ad390fea-544f-3f8b-99ad-822ee8126eaf
-0.06357848341910671,0.2132955165808933,0.276874,0.13,0.8799780162456218,0.5214885852149935,-0.8508298056105046,False,on_contact,bad_send,2,single,1B-2B,107.7,8,ground_ball,9,1.7719591228102325,220.15722417911041,3.144128364812345,26.6,88.1,STL,8,Bot,-2,Alec Burleson singles on a ground ball to right fielder Will Benson. Brendan Donovan scores. Masyn Winn to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=420d3c9d-48a5-33e8-b02d-0c2c3b01e377
